LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Edge 1->2,1,1,2,1.0664265807628093,0.0,1.0672478105286862,1.0672478105286862,47,15.723192703227998,168.94299055857147,0.0,-1
Edge 2->3,1,2,3,1.1385059347607065,0.0432875017549339,1.0760199570672362,1.0760199570672362,48,15.437092058060855,167.9105140576716,0.0,-1
Edge 3->4,1,3,4,1.0953459654761817,0.09535811897903246,1.0799351517766616,1.0799351517766616,49,15.222121372022293,166.8554389064405,0.0,-1
Edge 4->5,1,4,5,1.1852876341054839,0.08512133977870828,1.0630936995942029,1.0630936995942029,50,15.103343846551144,165.79150437414944,0.0,-1
Edge 5->6,1,5,6,1.0470425288655822,0.10321036002292128,1.054041368697075,1.054041368697075,51,15.085478894744027,164.734496995153,0.0,-1
Edge 6->7,1,6,7,1.0492983989142297,0.05382561499813221,1.088931735105661,1.088931735105661,52,15.09359249915987,163.66342908622687,0.0,-1
Edge 7->8,1,7,8,1.017380303438811,0.07799853997502115,1.0536298587392108,1.0536298587392108,53,15.114419196443976,162.5931652617688,0.0,-1
Edge 8->9,1,8,9,0.9959968094654077,0.04804118358241527,1.0320118690945637,1.0320118690945637,54,15.200714693649143,161.55422293020297,0.0,-1
Edge 9->10,1,9,10,1.0412371486635765,0.08110811962119846,1.081900739089106,1.081900739089106,55,15.357126680711762,160.5097821048976,0.0,-1
Edge 10->11,1,10,11,1.162735458928391,0.011926649880851903,1.0867462206615297,1.0867462206615297,56,15.566404148707978,159.44586550116128,0.0,-1
Edge 11->12,1,11,12,1.0327882728752098,0.048478231289447615,1.0455916114873716,1.0455916114873716,57,15.803108424283295,158.40662550826966,0.0,-1
Edge 12->13,1,12,13,1.0859380938849206,0.1020328578248686,1.0707697131283853,1.0707697131283853,58,16.009985310656873,157.37026800687642,0.0,-1
