LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Edge 1->2,1,1,2,1.5254156043441973,0.0,1.4451216562145668,1.4451216562145668,20,269.1212365537775,77.50421432308502,0.0,-1
Edge 2->3,1,2,3,1.3809632321424543,0.0008369413937153736,1.4269818869051516,1.4269818869051516,21,269.936627185322,76.3221050018002,0.0,-1
Edge 3->4,1,3,4,1.3071661912103396,0.0047310772864797,1.4331715224898551,1.4331715224898551,22,270.7509164061513,75.14650260208731,0.0,-1
Edge 4->5,1,4,5,1.4805414831646952,0.003746760708965069,1.4814307818769485,1.4814307818769485,23,271.58580978209216,73.95206874134657,0.0,-1
Edge 5->6,1,5,6,1.4223560877976993,0.036307266844330166,1.4675690158655974,1.4675690158655974,24,272.45430838565795,72.76079055334299,0.0,-1
Edge 6->7,1,6,7,1.4426913714852607,0.010873088270380362,1.4780546820101585,1.4780546820101585,25,273.33708459320735,71.58188563815878,0.0,-1
Edge 7->8,1,7,8,1.4402541917380713,0.26156974313232373,1.4521651456553732,1.4521651456553732,26,274.34509891422056,70.53596504192873,0.0,-1
Edge 8->9,1,8,9,1.5043888164794894,0.034239273081332344,1.483895138625104,1.483895138625104,27,275.4778839799875,69.60254177037007,0.0,-1
Edge 9->10,1,9,10,1.4166458814511718,0.12226091432901076,1.4556940635569924,1.4556940635569924,28,276.53447207984084,68.58477182188116,0.0,-1
Edge 10->11,1,10,11,1.4453870393351098,0.14100130399455194,1.4385832126631906,1.4385832126631906,29,277.4335022279398,67.45536326565761,0.0,-1
Edge 11->12,1,11,12,1.4720988468172966,0.06582568447088877,1.4784065556023345,1.4784065556023345,30,278.29788989191695,66.28159231427895,0.0,-1
Edge 12->13,1,12,13,1.3258644464618925,0.1591635217291123,1.4411318582252055,1.4411318582252055,31,279.1058484754006,65.0713592687759,0.0,-1
Edge 13->14,1,13,14,1.4719030864863525,0.12097475421321914,1.4446543294945255,1.4446543294945255,32,279.72905393790217,63.77291886377694,0.0,-1
