Experiment,Condition,Plate,Cell,TRACK_ID,SPEED_median,SPEED_p10,SPEED_p90,SPEED_IQR,DIRECTIONAL_CHANGE_RATE_median,DIRECTIONAL_CHANGE_RATE_p10,DIRECTIONAL_CHANGE_RATE_p90,DIRECTIONAL_CHANGE_RATE_IQR
experiment_01,condition1,,cell001,1,1.202672512259322,1.0669341779044346,1.2612126381853908,0.09104174475536597,0.1222541338674161,0.01605960583644778,0.8245807315884698,0.6527454669178787
experiment_01,condition1,,cell001,2,1.0464509197079463,1.0083332881452056,1.0898433853014302,0.0367170568441606,0.0643326794689143,0.00734922988654438,0.15587903800430236,0.12064437050275567
experiment_01,condition1,,cell001,3,0.8602115427381942,0.8219229416683052,0.8790771114280159,0.02431509671386589,0.036880148047803096,0.0005391488540005696,0.15272605594258887,0.07641419895623479
experiment_01,condition1,,cell001,4,0.8332305263685971,0.7801556071369109,0.8753344920244719,0.05954900322366641,0.0698930428578674,0.009575707008707801,0.16092866252117374,0.0802669864008476
experiment_01,condition1,,cell001,5,1.0469973601823277,1.0247822144661491,1.0799420808068128,0.029821910462836998,0.0833368805949457,0.0025862847953956,0.1937231162429356,0.10499259040962014
experiment_01,condition1,,cell001,6,0.8546244641812699,0.8054101578100583,0.888976096906284,0.04542252765073396,0.0668326018107729,0.0099477473015769,0.1455045576270899,0.0711920696328768
experiment_01,condition1,,cell001,7,0.9125883572072377,0.8431001227149066,0.9185494376311838,0.04515238184464865,0.060256321189641804,0.025770520145032,0.15247046382916962,0.05817897728009014
experiment_01,condition1,,cell001,8,0.8577091608801259,0.8177407820511831,0.8873381979168721,0.046968612754137995,0.1773887517816216,0.02026346327246065,0.2481054141768218,0.1587108560512306
experiment_01,condition1,,cell001,9,1.094998036072548,1.0607754286608235,1.1221106862561683,0.044196371922413435,0.05023927658475985,0.0036770309439803804,0.17015453459617094,0.11521242856616644
experiment_01,condition1,,cell001,10,1.1907984177724624,1.1333305490004502,1.2384742697990876,0.06379952623833463,0.0777767389084564,0.01381501341113272,0.1521285350801228,0.08537245335505175
experiment_01,condition1,,cell001,11,1.006693963773499,0.9487726238068105,1.0414236564638073,0.04761994434585359,0.0441616851997299,0.01005923113850774,0.18122779808516523,0.09710041329395763
experiment_01,condition1,,cell001,12,0.6172689612566807,0.5797401811349504,0.6686758719888963,0.04433160493209898,0.0500744743757248,0.00564389150786084,0.14570926789816105,0.07095004223118986
experiment_01,condition1,,cell001,13,0.6031924955611901,0.5573845222817595,0.6486026182041423,0.05357034731407739,0.0750121812137028,0.017696292123794522,0.1835253641022013,0.09026657246162431
experiment_01,condition1,,cell001,14,1.1690372910899636,1.1400627593663686,1.2007524070830262,0.029021834074147268,0.04828532106673965,0.02287904292714285,0.14156312403153137,0.04047551246576658
experiment_01,condition1,,cell001,15,1.0963782343775743,1.0532075119643307,1.1479793482667933,0.04632935381316683,0.11563008847504716,0.00847647524091177,0.18635942108323778,0.1214550077925064
experiment_01,condition1,,cell001,16,0.9415428308663814,0.8957541797171296,0.9857422199268455,0.05541772204194717,0.0724611051517563,0.01124127402725584,0.1665434277611315,0.08680237441451225
experiment_01,condition1,,cell001,17,0.8245433013989658,0.768278760945317,0.8680904102990872,0.04614133238723539,0.0532129373881153,0.0078598706115102,0.1421763649344627,0.0880315695535025
experiment_01,condition1,,cell001,18,0.8676748618368657,0.7981436964895874,0.9013509619947777,0.0699661354112513,0.09742352846750485,0.00715380875396506,0.1874557491859101,0.071052992716318
experiment_01,condition1,,cell001,19,1.012521468595052,0.9526156839504965,1.0549726924365546,0.061171203799713525,0.06288677303868445,0.015030584872557371,0.1398517158972226,0.07760880853867133
experiment_01,condition1,,cell001,20,0.9007563103312535,0.5013599607285495,1.0022806841164564,0.2075469744631998,0.8258054474400909,0.015278746298177182,2.2659563339514692,1.824143032697504
experiment_01,condition1,,cell001,21,1.1416210457503084,1.0957307744581255,1.1839385242811056,0.04629382499626589,0.0603006853426916,0.008297968317380963,0.17636647046453321,0.0708028022238763
experiment_01,condition1,,cell001,22,1.0999942662414972,1.0565510565028957,1.1456779409579245,0.04936461859747454,0.0668555343256707,0.00923193504740872,0.158090264696884,0.0677729798305984
experiment_01,condition1,,cell001,23,0.67572450907539,0.6440367569699103,0.7190670348075213,0.03521052470778563,0.0461026280580737,0.0024269951411274005,0.11565496013542681,0.049838743640869945
experiment_01,condition1,,cell001,24,0.9251546091986808,0.8576721081442771,0.9305650302043922,0.05549186081229751,0.0174968036714089,0.00582059221342204,0.04231899416294885,0.009916712015187299
experiment_01,condition1,,cell001,25,0.4713742350650982,0.42051577209907937,0.530366563065723,0.06187030585125897,0.0839568090774187,0.00835665566118974,0.1486782090125859,0.09883480464054412
experiment_01,condition1,,cell001,26,0.7555488961936425,0.6983748171379967,0.785191358430986,0.05167559968926749,0.0478806325795011,0.007862742919227693,0.1300734083009108,0.09344536782110979
experiment_01,condition1,,cell001,27,0.6868022058399534,0.636466121627266,0.7460027671668128,0.0635804703848587,0.06627092849803826,0.0105497704054652,0.13643482965501946,0.0609019567993032
experiment_01,condition1,,cell001,28,0.8538581746749379,0.8242089172940874,0.8976452993002386,0.043785849100292706,0.0571859182636602,0.008251499895680721,0.13868578886526747,0.09368050033741215
experiment_01,condition1,,cell001,29,0.8281367573549304,0.7847573812893984,0.8690960891115181,0.05489228310893923,0.055661666567788,0.010527623278771863,0.1271320912000795,0.058148645001597096
experiment_01,condition1,,cell001,30,1.0328780772651542,0.9872050068904542,1.0640103783063457,0.02489727585770285,0.06588045370487941,0.01628593407338129,0.11209286982014202,0.06207316541838663
experiment_01,condition1,,cell001,31,1.2157403625670145,1.1556808529592433,1.2584257383173445,0.05306878245812374,0.0525648996048148,0.0055245440791946,0.19010746385337796,0.10665896257014962
experiment_01,condition1,,cell001,32,1.3297050017508039,1.2666949446057743,1.382323967963805,0.06760028756158132,0.09471618163609061,0.006653548680304569,2.3718476207550827,0.13508600448049374
