LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Edge 1->2,1,1,2,0.5621792780785554,0.0,0.646345007235792,0.646345007235792,19,156.8483163154395,11.856461946028748,0.0,-1
Edge 2->3,1,2,3,0.6622032658464889,0.1669070077170218,0.6138044202796047,0.6138044202796047,20,156.25110023199068,11.662630870246018,0.0,-1
Edge 3->4,1,3,4,0.6798406748842705,0.0072197522411947546,0.6593090608102912,0.6593090608102912,21,155.66373755400895,11.417265235094838,0.0,-1
Edge 4->5,1,4,5,0.6352308120490331,0.09680128227724705,0.6556080731357687,0.6556080731357687,22,155.06973451237815,11.137264610494352,0.0,-1
Edge 5->6,1,5,6,0.6742043453111803,0.07947747084425316,0.7138373232869837,0.7138373232869837,23,154.4795743373105,10.791117988550267,0.0,-1
Edge 6->7,1,6,7,0.7303193465639485,0.001322027818154492,0.6739758668622179,0.6739758668622179,24,153.89457468728872,10.417913537951225,0.0,-1
Edge 7->8,1,7,8,0.6604340867672703,0.1315652654545061,0.6692981433010945,0.6692981433010945,25,153.3069568014061,10.095652353565121,0.0,-1
Edge 8->9,1,8,9,0.6547156113190192,0.010512621867152738,0.6630421220927973,0.6630421220927973,26,152.7015464027853,9.817715968508157,0.0,-1
Edge 9->10,1,9,10,0.6077976875670362,0.05327706829619938,0.6378362223416548,0.6378362223416548,27,152.10240730737843,9.565122562678155,0.0,-1
Edge 10->11,1,10,11,0.6903178632579609,0.05714189464868147,0.7106908378952428,0.7106908378952428,28,151.46738671516567,9.339268131065896,0.0,-1
Edge 11->12,1,11,12,0.7501700950555659,0.015582099031400176,0.7226639533330377,0.7226639533330377,29,150.78768695164098,9.112103991522254,0.0,-1
Edge 12->13,1,12,13,0.5610078303390513,0.14495709370744558,0.631829841820023,0.631829841820023,30,150.1353767669549,8.93671758014547,0.0,-1
Edge 13->14,1,13,14,0.7420750238348547,0.08738440141246206,0.7380381613514043,0.7380381613514043,31,149.45761945650713,8.842430875786047,0.0,-1
Edge 14->15,1,14,15,0.6999034729820357,0.10120645343059767,0.6521242200400104,0.6521242200400104,32,148.76430796284922,8.807421639324696,0.0,-1
Edge 15->16,1,15,16,0.6448287574969387,0.025422457276742083,0.6490666936251713,0.6490666936251713,33,148.1138479353565,8.817805012384554,0.0,-1
Edge 16->17,1,16,17,0.7477271425653732,0.07681613181415159,0.6950158295336629,0.6950158295336629,34,147.4438731758819,8.863719448695743,0.0,-1
Edge 17->18,1,17,18,0.7653926793775438,0.07024287686631947,0.6983627220961938,0.6983627220961938,35,146.75449635333734,8.9613773948082,0.0,-1
Edge 18->19,1,18,19,0.7197927794105651,0.013546341422812967,0.6746136621507013,0.6746136621507013,36,146.07781598986816,9.076911418772127,0.0,-1
Edge 19->20,1,19,20,0.6374376005115951,0.04456848723365159,0.664300388970473,0.664300388970473,37,145.41986320864606,9.199583093673098,0.0,-1
Edge 20->21,1,20,21,0.7194773820571456,0.000480628688195317,0.7212492999560265,0.7212492999560265,38,144.74181151470276,9.34164947883056,0.0,-1
Edge 21->22,1,21,22,0.6712008533915237,0.11156981152691614,0.6539123441127576,0.6539123441127576,39,144.07825755688975,9.517710122313986,0.0,-1
Edge 22->23,1,22,23,0.6512197401218033,0.08284222860647006,0.6747072269450409,0.6747072269450409,40,143.45705195275332,9.751493252001225,0.0,-1
Edge 23->24,1,23,24,0.7156477930723284,0.20408284469092974,0.7408030969703066,0.7408030969703066,41,142.78315884653875,9.955451785242879,0.0,-1
Edge 24->25,1,24,25,0.5989797768755897,0.06974047509899073,0.6271454443338758,0.6271454443338758,42,142.11738129679176,10.110359415785336,0.0,-1
Edge 25->26,1,25,26,0.7872647396319793,0.21064284089300944,0.6600867095796368,0.6600867095796368,43,141.5216673920636,10.344435351805023,0.0,-1
Edge 26->27,1,26,27,0.7021741032043423,0.03421282128315051,0.7157286391633554,0.7157286391633554,44,140.90511732118392,10.64930375193213,0.0,-1
Edge 27->28,1,27,28,0.7505198488418497,0.07079690053222931,0.6970860684020935,0.6970860684020935,45,140.27819301471442,10.973884014856154,0.0,-1
Edge 28->29,1,28,29,0.6673416123771815,0.024384690021325817,0.7108117264663634,0.7108117264663634,46,139.66090107805684,11.312145838804092,0.0,-1
